index,comparison,n_control,n_group,t_stat,p_value,p_holm
Behavior Index,50mg/kg vs Control,9,9,2.830794445469329,0.014307650682234581,0.014307650682234581
Behavior Index,250mg/kg vs Control,9,9,3.876208737338104,0.0017068056982201044,0.0034136113964402088
Behavior Index,1250mg/kg vs Control,9,9,5.81504437010522,4.5442572941134785e-05,0.00013632771882340436
Anxiety Index,50mg/kg vs Control,9,9,-2.2027766510217783,0.04751931658384835,0.04751931658384835
Anxiety Index,250mg/kg vs Control,9,9,-3.4552003075562823,0.004091046308336762,0.008182092616673523
Anxiety Index,1250mg/kg vs Control,9,9,-5.185594632046367,0.00020046972177195508,0.0006014091653158652
