scope,target,n,pearson_r,pearson_p,spearman_r,spearman_p
overall,PC1,18.0,0.9272546072276183,3.1332699642061754e-08,0.9484004127966976,2.148035954426553e-09
overall,PC2,18.0,0.2892537444902181,0.24434462683680427,0.2528379772961816,0.31141340050989863
group=1250mg/kg,PC1,9.0,0.8702433926283057,0.002277152105251685,0.7999999999999999,0.00962792472537983
group=1250mg/kg,PC2,9.0,0.34951272654822957,0.3565359329070648,0.43333333333333335,0.2439524358800516
group=Control,PC1,9.0,0.8809600585397104,0.0017025442907630342,0.9833333333333333,1.9361963037459243e-06
group=Control,PC2,9.0,-0.3221400776404746,0.39787671958087995,-0.39999999999999997,0.2861051019083129
