scope,target,n,pearson_r,pearson_p,spearman_r,spearman_p
overall,PC1,18.0,-0.7943396463054324,8.247477782454365e-05,-0.8555211558307534,6.005632918162668e-06
overall,PC2,18.0,-0.4870022474908477,0.040390457257233156,-0.5149638802889577,0.028748754882630335
group=1250mg/kg,PC1,9.0,-0.6742550352790775,0.046391464527229295,-0.6666666666666667,0.04986723056888511
group=1250mg/kg,PC2,9.0,-0.4560918477517187,0.21722809456206346,-0.5,0.17047066078705375
group=Control,PC1,9.0,-0.36807582896554086,0.3297418752855923,-0.39999999999999997,0.2861051019083129
group=Control,PC2,9.0,-0.3770753705973522,0.31712388196547375,-0.48333333333333334,0.18746985521554207
