,PC1_loading,PC2_loading
Mean Speed (BL/s),0.5501500584194057,-0.21498047623181457
Total Distance (BL),0.5288967813775776,-0.23845362306315682
Freezing Ratio (%),-0.39396828276140317,-0.09944797035476295
Mean Dist to Center (BL),-0.12581986869799905,-0.7017596178571621
Time in Center (%),0.279580085443315,0.6138378995554905
Mean Acceleration,0.41036134870613894,-0.1333035539428219
