Group,Behavior Index_count,Behavior Index_mean,Behavior Index_std,Behavior Index_median,Anxiety Index_count,Anxiety Index_mean,Anxiety Index_std,Anxiety Index_median
1250mg/kg,9,-1.356333059092587,0.581878672630303,-1.3770089446092255,9,1.5453426692777488,0.7823721782982099,1.444659133253479
250mg/kg,9,-0.9110266653993063,0.5883067935729707,-0.8205854828632484,9,0.9411706822162034,0.6932623228562729,0.7921871000828182
50mg/kg,9,-0.7300752806535874,0.669018072822538,-0.5323654440989366,9,0.674570124797117,0.8104686682614382,0.7865898384829138
Control,9,2.0970879354030734e-16,0.3886495488215433,0.10117164063606097,9,-1.1102230246251565e-16,0.43262739655281196,-0.016661693406954725
