Rank,Term,P.value,Adj.P,Combined_Score,n_genes,Genes
1,Autophagy,0.001093020851843899,0.15411594010998975,65.49563747679927,4,TANK;SNAP29;ATG12;MAPK3
3,NOD-like receptor signaling pathway,0.021999055564804623,0.5071584222108491,20.172238283583262,3,TANK;ATG12;MAPK3
5,Lipid and atherosclerosis,0.03418047211161121,0.5071584222108491,14.955853494672466,3,TANK;LDLR;MAPK3
8,Shigellosis,0.047767797650090406,0.5071584222108491,11.735896025499574,3,ARPC5L;ATG12;MAPK3
