Rank,Term,P.value,Adj.P,Combined_Score,n_genes,Genes
2,chromosome (GO:0005694),0.015918036638933736,0.14701954188115304,24.835535703639003,3,KRR1;CDCA5;WAPL
8,intracellular membrane-bounded organelle (GO:0043231),0.022042068815090868,0.14701954188115304,6.647862316195637,25,PPP1R10;USP11;CDCA5;GMNN;DCUN1D1;MGST2;ADIRF;NUDT3;PURA;ZNF787;DIP2B;NHEJ1;MAPK3;ZNF384;NSMCE2;MRTFB;WAPL;DRAP1;AFTPH;SARNP;DNAJC5;GID8;LANCL2;TRIM35;SRSF4
16,nucleus (GO:0005634),0.02750743153876729,0.14701954188115304,6.22988830772471,22,ZNF384;PPP1R10;USP11;CDCA5;NSMCE2;GMNN;MRTFB;DCUN1D1;ADIRF;WAPL;NUDT3;DRAP1;PURA;SARNP;GID8;LANCL2;TRIM35;SRSF4;ZNF787;DIP2B;NHEJ1;MAPK3
21,intracellular non-membrane-bounded organelle (GO:0043232),0.036124143650698694,0.15137736386959452,7.481594177273747,8,GTF3C1;KRR1;CDCA5;LARP4B;CDC42BPA;MIF4GD;WAPL;MAPK3
26,intracellular organelle lumen (GO:0070013),0.060502784419643206,0.20329416807097364,6.3603703089390295,6,COMMD9;FKBP14;LYRM7;OSTF1;NAXD;MAPK3
