Protein,Protein ID,Entry Name,Gene,CTRL-1,CTRL-2,CTRL-3,PTX3-1,PTX3-2,PTX3-3,mean c,mean ptx3,FC,log2FC,P.value,Sig
sp|P26583|HMGB2_HUMAN,P26583,HMGB2_HUMAN,HMGB2,47.64541645,42.88414122,59.89557885,76.9348912,75.35221416,66.89935884,50.14171217,73.06215473,1.457113281,0.543113042,0.01824738,not significant
sp|P26599|PTBP1_HUMAN,P26599,PTBP1_HUMAN,PTBP1,35.7692081,39.1252862,47.01096348,40.42966806,38.5310051,46.00972196,40.63515259,41.65679837,1.025141921,0.03582365,0.811793608,not significant
sp|P26639|SYTC_HUMAN,P26639,SYTC_HUMAN,TARS1,45.59672984,60.55476552,60.44910637,48.99844005,42.13598052,71.41905418,55.53353391,54.18449158,0.975707609,-0.035479216,0.900608193,not significant
sp|P26640|SYVC_HUMAN,P26640,SYVC_HUMAN,VARS1,29.49684945,31.77021068,40.11900711,34.5701951,32.28371877,34.91241477,33.79535575,33.92210955,1.003750628,0.00540089,0.971485844,not significant
sp|P26641|EF1G_HUMAN,P26641,EF1G_HUMAN,EEF1G,121.8038924,141.7204945,133.1568239,117.7674389,111.1587093,88.17579917,132.2270703,105.7006491,0.799387364,-0.323033327,0.067644055,not significant
sp|P26885|FKBP2_HUMAN,P26885,FKBP2_HUMAN,FKBP2,9.155488633,7.040682623,10.31593673,10.69151696,10.24460521,10.72260407,8.837369329,10.55290875,1.194123314,0.255951827,0.152050558,not significant
sp|P27105|STOM_HUMAN,P27105,STOM_HUMAN,STOM,1.522475368,0.571699004,0.320847959,2.746640158,0.561456651,3.083778831,0.805007444,2.130625213,2.646714922,1.40420281,0.202757242,not significant
sp|P27144|KAD4_HUMAN,P27144,KAD4_HUMAN,AK4,14.74046093,15.28501303,10.72529726,13.99099769,16.19395469,10.87932077,13.58359041,13.68809105,1.007693153,0.011056399,0.962839936,not significant
sp|P27348|1433T_HUMAN,P27348,1433T_HUMAN,YWHAQ,47.52059045,39.44830529,41.7229931,47.60096443,48.7627721,51.47810012,42.89729628,49.28061222,1.148804622,0.200133458,0.074637224,not significant
sp|P27361|MK03_HUMAN,P27361,MK03_HUMAN,MAPK3,0.350412662,0.130547996,0.309745699,0.637963358,0.671958335,0.659855018,0.263568786,0.656592237,2.491160838,1.31681817,0.004515007,up
sp|P27449|VATL_HUMAN,P27449,VATL_HUMAN,ATP6V0C,0.648140099,1.30102761,0.817887655,0.994476145,0.881849436,1.134641837,0.922351788,1.003655806,1.088148599,0.121875587,0.716828755,not significant
