Rank,Term,P.value,Adj.P,Combined_Score,n_genes,Genes
1,DNA replication initiation (GO:0006270),0.00026659301172288154,0.05686403001900368,222.80889624412598,3,PURA;PRIM1;GMNN
7,regulation of DNA replication (GO:0006275),0.0007146287435063299,0.05686403001900368,137.1758791449791,3,CCDC88A;GMNN;WAPL
8,DNA-dependent DNA replication (GO:0006261),0.0008738933208723136,0.06084482246573483,72.00305418617937,4,GINS2;PURA;PRIM1;GMNN
