Protein,Protein ID,Gene,log2FC,FC,P.value,FDR,mean c,mean ptx3,Class,is_onoff
sp|Q53HC9|EIPR1_HUMAN,Q53HC9,EIPR1,1.044744185,2.06300052,0.020875267,0.34157374086666664,0.277464795,0.572410017,Exploratory_Up,False
sp|Q92882|OSTF1_HUMAN,Q92882,OSTF1,1.041582338,2.058484147,0.00392826,0.34157374086666664,1.539444962,3.16892305,Stringent_Up,False
sp|O43768|ENSA_HUMAN,O43768,ENSA,1.035764071,2.050199173,0.002144428,0.2878125221621622,15.17085483,31.10327403,Stringent_Up,False
sp|Q9BTT6|LRRC1_HUMAN,Q9BTT6,LRRC1,1.032037259,2.044909872,0.048767061,0.34157374086666664,0.201394488,0.411833576,Exploratory_Up,False
sp|P51784|UBP11_HUMAN,P51784,USP11,1.029874016,2.041845938,0.014112005,0.34157374086666664,0.678584078,1.385564144,Exploratory_Up,False
sp|Q9UHD9|UBQL2_HUMAN,Q9UHD9,UBQLN2,1.026916342,2.037664231,0.027789576,0.34157374086666664,1.556236258,3.171086957,Exploratory_Up,False
sp|Q3V6T2|GRDN_HUMAN,Q3V6T2,CCDC88A,1.016835863,2.023476176,0.014692507,0.34157374086666664,0.444920825,0.90028669,Exploratory_Up,False
sp|P40763|STAT3_HUMAN,P40763,STAT3,-1.006819598,0.497642085,0.034459981,0.34157374086666664,4.670522065,2.324248337,Exploratory_Down,False
sp|Q86TI2|DPP9_HUMAN,Q86TI2,DPP9,-1.016829278,0.494201304,0.007977219,0.34157374086666664,0.842896427,0.416560513,Stringent_Down,False
sp|Q6FI13|H2A2A_HUMAN,Q6FI13,H2AC18,-1.030283748,0.489613842,0.00959676,0.34157374086666664,137.2175047,67.18358971,Stringent_Down,False
sp|P37108|SRP14_HUMAN,P37108,SRP14,-1.087987484,0.470417135,0.047939872,0.34157374086666664,12.58655977,5.920933385,Exploratory_Down,False
sp|Q9UI09|NDUAC_HUMAN,Q9UI09,NDUFA12,-1.110963137,0.462984841,0.041336076,0.34157374086666664,0.688311704,0.318677885,Exploratory_Down,False
sp|O43493|TGON2_HUMAN,O43493,TGOLN2,-1.120212914,0.460025929,0.045976899,0.34157374086666664,3.434510058,1.579963681,Exploratory_Down,False
sp|Q08AD1|CAMP2_HUMAN,Q08AD1,CAMSAP2,-1.135431149,0.455198861,0.011172752,0.34157374086666664,0.462482255,0.210521395,Exploratory_Down,False
sp|Q96GQ7|DDX27_HUMAN,Q96GQ7,DDX27,-1.144341891,0.45239601,0.00432622,0.34157374086666664,1.68123344,0.7605833,Stringent_Down,False
sp|Q9NX14|NDUBB_HUMAN,Q9NX14,NDUFB11,-1.149794647,0.450689378,0.028701003,0.34157374086666664,3.059536885,1.378900775,Exploratory_Down,False
sp|Q9P015|RM15_HUMAN,Q9P015,MRPL15,-1.201503754,0.434821821,0.003093138,0.32474893437499996,0.663317668,0.288424996,Stringent_Down,False
sp|Q14699|RFTN1_HUMAN,Q14699,RFTN1,-1.235973265,0.424555991,0.012893694,0.34157374086666664,1.884437943,0.800049418,Exploratory_Down,False
sp|P29317|EPHA2_HUMAN,P29317,EPHA2,-1.264557763,0.416226936,0.009839208,0.34157374086666664,6.706816044,2.791557493,Stringent_Down,False
sp|Q8N357|S35F6_HUMAN,Q8N357,SLC35F6,-1.269732392,0.414736696,0.043789324,0.34157374086666664,0.523620206,0.217164514,Exploratory_Down,False
sp|Q6VY07|PACS1_HUMAN,Q6VY07,PACS1,-1.288382921,0.409409669,0.006297488,0.34157374086666664,0.355339756,0.145479532,Stringent_Down,False
