Group,Index,Label,Length_cm,IQR_lower,IQR_upper
G-0.5,46,G-0.5-1.jpg,0.289,0.3051250000000001,0.39012499999999983
G-0.5,70,G-0.5-3.jpg,0.304,0.3051250000000001,0.39012499999999983
P-0.5,136,P-0.5-2.jpg,0.289,0.29300000000000004,0.42099999999999993
P-0.5,144,P-0.5-2.jpg,0.277,0.29300000000000004,0.42099999999999993
P-5,171,P-5-1.jpg,0.268,0.28075000000000017,0.40474999999999983
P-5,184,P-5-2.jpg,0.255,0.28075000000000017,0.40474999999999983
P-5,193,P-5-3.jpg,0.258,0.28075000000000017,0.40474999999999983
